acquirer_ID,acquired_ID,date,price,currency
5172,57551,2010-03-26,,USD
5270,52000,2012-09-17,,USD
5308,7322,2013-06-17,223000000.0,USD
5328,54306,2009-11-12,1500000.0,USD
5335,28869,2013-06-04,,USD
5335,41589,2011-01-11,121500000.0,USD
5336,17389,2011-02-14,,USD
5360,50925,2014-04-21,323000000.0,USD
5360,51449,2013-03-25,,USD
5362,22147,2012-09-13,,USD
5387,7193,2014-02-13,,USD
5455,57190,2013-05-14,,USD
5491,11614,2010-10-01,,USD
5494,53554,2012-04-01,,USD
5505,55628,2014-01-28,,USD
5505,55674,2012-03-22,,USD
5514,53881,2008-04-28,,USD
5514,30090,2010-10-06,3000000.0,USD
5514,55150,2011-01-10,,USD
5514,40016,2010-11-17,,USD
5518,54233,2013-09-30,3000000.0,USD
5518,56464,2012-05-29,800000.0,USD
5532,49906,2009-02-13,,USD
5532,50154,2006-03-10,,USD
5532,50951,2010-08-24,,USD
5532,50980,2009-03-24,,USD
5532,50994,2008-12-11,,USD
5532,10974,2009-06-04,,USD
5532,52209,2006-11-22,,USD
5532,14956,2007-11-15,,USD
5532,17141,2011-02-14,,USD
5532,21922,2011-07-23,,USD
5532,24373,2011-10-01,,USD
5532,27674,2014-09-11,,USD
5532,28979,2011-10-07,,USD
5532,31404,2012-03-09,,USD
5532,55902,2010-06-08,200000000.0,USD
5532,37088,2011-06-07,,USD
5532,56404,2014-07-29,,USD
5532,56644,2006-07-15,,USD
5532,57164,2010-12-02,,USD
5532,57455,2011-03-26,,USD
5532,57497,2009-08-24,,USD
5532,44508,2011-04-27,,USD
5532,44806,2011-05-02,,USD
5532,46133,2010-03-26,,USD
5534,50877,2014-08-07,,USD
5534,27482,2012-03-26,,USD
5534,28016,2014-01-16,,USD
5534,54879,2012-03-26,,USD
5534,31892,2014-07-08,,USD
5534,33364,2011-01-13,53000000.0,USD
5534,56274,2010-03-25,33000000.0,USD
5534,57278,2009-07-14,4000000.0,USD
5534,47621,2010-07-08,,USD
5537,51535,2012-10-31,,USD
5549,18988,2009-02-17,,USD
5606,50812,2011-03-16,,USD
5606,51007,2010-06-01,,USD
5606,52468,2011-01-01,,USD
5606,54137,2011-11-17,,USD
5610,23567,2014-06-19,,USD
5625,56238,2014-03-04,,USD
5625,58409,2013-12-24,,USD
5665,38098,2013-05-30,,USD
5685,17196,2011-04-11,,USD
5690,43542,2014-04-08,,USD
5752,55718,2014-07-01,139900000.0,USD
5761,57349,2013-12-05,,USD
5772,57528,2011-01-26,,USD
5818,50860,2014-09-29,565000000.0,USD
5840,17777,2014-05-27,,USD
5848,49746,2011-07-07,,USD
5848,5556,2008-03-17,800000000.0,USD
5848,9932,2011-04-28,,USD
5848,17979,2010-12-03,,USD
5848,21694,2008-06-01,,USD
5848,53833,2013-07-01,,USD
5848,54675,2009-08-10,,USD
5848,54828,2010-10-05,,USD
5848,55060,2012-01-30,,USD
5848,31479,2013-08-01,,USD
5848,32215,2010-01-07,,USD
5848,55765,2007-05-01,,USD
5848,56989,2011-10-05,,USD
5848,43275,2009-10-19,,USD
5848,57856,2012-08-09,,USD
5860,53236,2010-09-01,,USD
5860,55626,2010-02-02,2310000000.0,USD
5903,51156,2012-08-08,,USD
5906,54567,2009-06-01,,USD
5906,54626,2014-10-07,,USD
